172.20.144.117 -  -  [11/Oct/2014:00:53:25 +0000] "GET / HTTP/1.1" 101 - 
0:0:0:0:0:0:0:1 -  -  [11/Oct/2014:00:53:32 +0000] "GET /observe.html HTTP/1.1" 200 1052 
0:0:0:0:0:0:0:1 -  -  [11/Oct/2014:00:53:56 +0000] "GET /observe.html HTTP/1.1" 200 1074 
0:0:0:0:0:0:0:1 -  -  [11/Oct/2014:00:54:35 +0000] "GET /observe.html HTTP/1.1" 200 1074 
0:0:0:0:0:0:0:1 -  -  [11/Oct/2014:00:55:09 +0000] "GET /observe.html HTTP/1.1" 200 1107 
0:0:0:0:0:0:0:1 -  -  [11/Oct/2014:00:55:45 +0000] "GET /observe.html HTTP/1.1" 200 1107 
0:0:0:0:0:0:0:1 -  -  [12/Oct/2014:06:13:03 +0000] "GET /indexeddb.htl HTTP/1.1" 404 297 
0:0:0:0:0:0:0:1 -  -  [12/Oct/2014:06:13:13 +0000] "GET /indexeddbTest.html HTTP/1.1" 200 587 
0:0:0:0:0:0:0:1 -  -  [12/Oct/2014:06:13:50 +0000] "GET /indexeddbTest.html HTTP/1.1" 200 651 
0:0:0:0:0:0:0:1 -  -  [12/Oct/2014:06:17:20 +0000] "GET /indexeddbTest.html HTTP/1.1" 200 960 
0:0:0:0:0:0:0:1 -  -  [12/Oct/2014:06:17:36 +0000] "GET /indexeddbTest.html HTTP/1.1" 200 960 
0:0:0:0:0:0:0:1 -  -  [12/Oct/2014:06:17:57 +0000] "GET /indexeddbTest.html HTTP/1.1" 304 - 
0:0:0:0:0:0:0:1 -  -  [12/Oct/2014:06:18:50 +0000] "GET /indexeddbTest.html HTTP/1.1" 200 1015 
0:0:0:0:0:0:0:1 -  -  [12/Oct/2014:06:18:52 +0000] "GET /indexeddbTest.html HTTP/1.1" 304 - 
0:0:0:0:0:0:0:1 -  -  [12/Oct/2014:06:19:20 +0000] "GET /indexeddbTest.html HTTP/1.1" 304 - 
0:0:0:0:0:0:0:1 -  -  [12/Oct/2014:06:20:38 +0000] "GET /indexeddbTest.html HTTP/1.1" 200 1033 
0:0:0:0:0:0:0:1 -  -  [12/Oct/2014:06:21:00 +0000] "GET /indexeddbTest.html HTTP/1.1" 304 - 
0:0:0:0:0:0:0:1 -  -  [12/Oct/2014:06:21:08 +0000] "GET /indexeddbTest.html HTTP/1.1" 304 - 
0:0:0:0:0:0:0:1 -  -  [12/Oct/2014:06:21:09 +0000] "GET /indexeddbTest.html HTTP/1.1" 304 - 
0:0:0:0:0:0:0:1 -  -  [12/Oct/2014:06:21:10 +0000] "GET /indexeddbTest.html HTTP/1.1" 304 - 
0:0:0:0:0:0:0:1 -  -  [12/Oct/2014:06:21:56 +0000] "GET /indexeddbTest.html HTTP/1.1" 200 1056 
0:0:0:0:0:0:0:1 -  -  [12/Oct/2014:06:22:38 +0000] "GET /indexeddbTest.html HTTP/1.1" 304 - 
0:0:0:0:0:0:0:1 -  -  [12/Oct/2014:06:23:09 +0000] "GET /indexeddbTest.html HTTP/1.1" 304 - 
0:0:0:0:0:0:0:1 -  -  [12/Oct/2014:06:23:42 +0000] "GET /indexeddbTest.html HTTP/1.1" 200 1056 
0:0:0:0:0:0:0:1 -  -  [12/Oct/2014:06:52:36 +0000] "GET /indexeddbTest.html HTTP/1.1" 200 1530 
0:0:0:0:0:0:0:1 -  -  [12/Oct/2014:06:53:55 +0000] "GET /indexeddbTest.html HTTP/1.1" 200 1629 
0:0:0:0:0:0:0:1 -  -  [12/Oct/2014:06:54:35 +0000] "GET /indexeddbTest.html HTTP/1.1" 200 1635 
0:0:0:0:0:0:0:1 -  -  [12/Oct/2014:06:54:48 +0000] "GET /indexeddbTest.html HTTP/1.1" 304 - 
0:0:0:0:0:0:0:1 -  -  [12/Oct/2014:06:55:35 +0000] "GET /indexeddbTest.html HTTP/1.1" 200 1635 
0:0:0:0:0:0:0:1 -  -  [12/Oct/2014:06:56:18 +0000] "GET /indexeddbTest.html HTTP/1.1" 200 1631 
0:0:0:0:0:0:0:1 -  -  [12/Oct/2014:07:04:51 +0000] "GET /indexeddbTest.html HTTP/1.1" 200 2308 
0:0:0:0:0:0:0:1 -  -  [12/Oct/2014:07:08:23 +0000] "GET /indexeddbTest.html HTTP/1.1" 200 2468 
0:0:0:0:0:0:0:1 -  -  [12/Oct/2014:07:08:51 +0000] "GET /indexeddbTest.html HTTP/1.1" 200 2499 
0:0:0:0:0:0:0:1 -  -  [12/Oct/2014:07:09:28 +0000] "GET /indexeddbTest.html HTTP/1.1" 200 2666 
0:0:0:0:0:0:0:1 -  -  [12/Oct/2014:07:09:35 +0000] "GET /indexeddbTest.html HTTP/1.1" 304 - 
0:0:0:0:0:0:0:1 -  -  [12/Oct/2014:07:09:38 +0000] "GET /indexeddbTest.html HTTP/1.1" 304 - 
0:0:0:0:0:0:0:1 -  -  [12/Oct/2014:07:09:41 +0000] "GET /indexeddbTest.html HTTP/1.1" 304 - 
0:0:0:0:0:0:0:1 -  -  [12/Oct/2014:07:11:07 +0000] "GET /indexeddbTest.html HTTP/1.1" 304 - 
